Account logs for period 2025-08-01 to 2025-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Name,Archive ID,Message ID,Message Subject,Message Type,Google Analytics Source Tag,Google Analytics Campaign Tag,Google Analytics Medium Tag,Custom Tracking Tag,Message Description,Message Filter,Send Date,Emails Sent,SMSs credit used,Sms Sent,,Total Transactional,Failed Transactional,Reads,Unique Reads,Clicks,Unique Clicks,Bounces,Complaints,Forwards,Unsubscribes,Click Rate,Read Rate,Bounce rate,Complaint Rate,Unsubscribe Rate
Aucor Bloemfontein,,,,,,,,,,,,0,67679,55307,"7,742.98",9475.06,0,,,,,,,,,,,,,
,9569116,544575,03.09.2025- Amandelbult,sms,,,email,,03.09.2025- Amandelbult,,2025/08/28 16:15,0,7176,7176,"1,004.64",1004.64,,7043,7043,0,0,133,0,0,2,0,100,1.85,0,0.03
,9535905,544421,26.08.2025 - Aucor eMalahleni,sms,,,email,,26.08.2025 - Aucor eMalahleni,,2025/08/26 17:45,0,300,300,42,,,283,283,0,0,17,0,0,0,0,100,5.67,0,0
,9468011,544208,28.08.2025 - Glencore 2,sms,,,email,,28.08.2025 - Glencore 2,,2025/08/22 10:49,0,14335,14335,"2,006.90",,,14002,14002,0,0,333,0,0,7,0,100,2.32,0,0.05
,9468001,544207,27.08.2025 - Glencore 1,sms,,,email,,27.08.2025 - Glencore 1,,2025/08/22 09:30,0,7208,7208,"1,009.12",,,7061,7061,0,0,147,0,0,2,0,100,2.04,0,0.03
,9467577,544199,21.08.2025 - Aucor eMalahleni,sms,,,email,,21.08.2025 - Aucor eMalahleni,,2025/08/21 17:45,0,288,288,40.32,,,278,278,0,0,10,0,0,0,0,100,3.47,0,0
,9431073,544031,19.08.2025 - Aucor eMalahleni,sms,,,email,,19.08.2025 - Aucor eMalahleni,,2025/08/19 17:45,0,274,274,38.36,,,264,264,0,0,10,0,0,0,0,100,3.65,0,0
,9402385,543881,20.08.2025 - WesBank,sms,,,email,,20.08.2025 - WesBank,,2025/08/18 12:23,0,24744,12372,"1,732.08",,,12079,12079,0,0,293,0,0,15,0,100,2.37,0,0.12
,9358786,543803,14.08.2025 - Aucor eMalahleni,sms,,,email,,14.08.2025 - Aucor eMalahleni,,2025/08/14 17:45,0,234,234,32.76,,,229,229,0,0,5,0,0,0,0,100,2.14,0,0
,9332317,543655,12.08.2025 - Aucor eMalahleni,sms,,,email,,12.08.2025 - Aucor eMalahleni,,2025/08/12 17:45,0,261,261,36.54,,,249,249,0,0,12,0,0,0,0,100,4.6,0,0
,9264350,543374,07.08.2025 - Aucor eMalahleni,sms,,,email,,07.08.2025 - Aucor eMalahleni,,2025/08/07 17:45,0,468,468,65.52,,,279,276,0,0,8,0,0,0,0,60,1.71,0,0
,9197979,543006,07.08.2025 - MULTI BANK,sms,,,email,,07.08.2025 - MULTI BANK,,2025/08/04 10:23,0,12391,12391,"1,734.74",,,12102,12102,0,0,289,0,0,2,0,100,2.33,0,0.02
